stt,word,pronunciation,meaning,word_type,example,topic,source_url
suspense / /sə'spens/,Sự hồi hộp,n,The story kept us in suspense. (Câu chuyện khiến chúng tôi hồi hộp),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng Đọc(P4) Cô Mai Phương,https://luyentu.com/words
county / /'kaunti/,Quận,hạt,n,,Sửa từXóa từ,TOEIC: 80 từ kỹ năng Đọc(P4) Cô Mai Phương,https://luyentu.com/words
grapefruit / /'greɪpfru:t/,Quả bưởi,n,I had a grapefruit for breakfast. (Tôi ăn một quả bưởi cho bữa sáng),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng Đọc(P4) Cô Mai Phương,https://luyentu.com/words
chamber of commerce / /'tʃeɪmbər əv 'kɒm3:s/,Phòng thương mại,n,The chamber of commerce supports local businesses. (Phòng thương mại hỗ trợ các doanh nghiệp địa phương),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng Đọc(P4) Cô Mai Phương,https://luyentu.com/words
agritourism / /'ægrıtuərızəm/,Du lịch nông nghiệp,n,Agritourism is popular in this region. (Du lịch nông nghiệp rất phổ biến ở vùng này),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng Đọc(P4) Cô Mai Phương,https://luyentu.com/words
lodging / /'lɒdʒɪŋ/,Chỗ ở,n,We are looking for cheap lodging. (Chúng tôi đang tìm chỗ ở giá rẻ),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng Đọc(P4) Cô Mai Phương,https://luyentu.com/words
cordially / /'kɔ:diəli/,Thân mật,một cách chân thành,adv,,Sửa từXóa từ,TOEIC: 80 từ kỹ năng Đọc(P4) Cô Mai Phương,https://luyentu.com/words
keen / /ki:n/,Nhiệt tình,háo hức,adj,,Sửa từXóa từ,TOEIC: 80 từ kỹ năng Đọc(P4) Cô Mai Phương,https://luyentu.com/words
pending / /'pendɪŋ/,Đang chờ,adj,The request is still pending. (Yêu cầu vẫn đang chờ xử lý),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng Đọc(P4) Cô Mai Phương,https://luyentu.com/words
bachelor of arts / /'bæʧələ əv 'a:ts/,Cử nhân Nghệ thuật,n,She holds a Bachelor of Arts in History. (Cô ấy có bằng Cử nhân Nghệ thuật ngành Lịch sử),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng Đọc(P4) Cô Mai Phương,https://luyentu.com/words
cosmetology / /,koz.mə'tɒl.ə.dʒi/,Thẩm mỹ học,n,,Sửa từXóa từ,TOEIC: 80 từ kỹ năng Đọc(P4) Cô Mai Phương,https://luyentu.com/words
outside the city limits / /aut'saɪd ðə 'sɪti 'lɪmits/,Ngoài thành phố,collocation,They bought a house outside the city limits. (Họ mua một căn nhà ngoài phạm vi thành phố),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng Đọc(P4) Cô Mai Phương,https://luyentu.com/words
appointment / /əˈpɔɪntmənt/,Cuộc hẹn,noun,I have an appointment with the manager at 10 a.m.,,Sửa từXóa từ,TOEIC: Chủ đề Văn phòng,https://luyentu.com/words
briefcase / /ˈbriːf.keɪs/,Cặp tài liệu,noun,He carried his documents in a leather briefcase.,,Sửa từXóa từ,TOEIC: Chủ đề Văn phòng,https://luyentu.com/words
conference / /ˈkɒn.fər.əns/,Hội nghị,noun,The annual conference will be held next week.,,Sửa từXóa từ,TOEIC: Chủ đề Văn phòng,https://luyentu.com/words
desk / /desk/,Bàn làm việc,noun,She left her notebook on the desk.,,Sửa từXóa từ,TOEIC: Chủ đề Văn phòng,https://luyentu.com/words
file / /faɪl/,Tệp tài liệu,noun,Please save the document in this file.,,Sửa từXóa từ,TOEIC: Chủ đề Văn phòng,https://luyentu.com/words
fax / /fæks/,Máy fax,noun,Could you send this document via fax?,,Sửa từXóa từ,TOEIC: Chủ đề Văn phòng,https://luyentu.com/words
keyboard / /ˈkiː.bɔːd/,Bàn phím,noun,The keyboard on my laptop isn’t working.,,Sửa từXóa từ,TOEIC: Chủ đề Văn phòng,https://luyentu.com/words
meeting / /ˈmiː.tɪŋ/,Cuộc họp,noun,The team has a meeting every Monday morning.,,Sửa từXóa từ,TOEIC: Chủ đề Văn phòng,https://luyentu.com/words
office / /ˈɒf.ɪs/,Văn phòng,noun,She works in a large office downtown.,,Sửa từXóa từ,TOEIC: Chủ đề Văn phòng,https://luyentu.com/words
paperclip / /ˈpeɪ.pə.klɪp/,Kẹp giấy,noun,Use a paperclip to keep these pages together.,,Sửa từXóa từ,TOEIC: Chủ đề Văn phòng,https://luyentu.com/words
printer / /ˈprɪn.tər/,Máy in,noun,The printer is out of paper again.,,Sửa từXóa từ,TOEIC: Chủ đề Văn phòng,https://luyentu.com/words
schedule / /ˈʃedʒ.uːl/,Lịch trình,noun,Check the schedule to confirm the meeting time.,,Sửa từXóa từ,TOEIC: Chủ đề Văn phòng,https://luyentu.com/words
supervisor / /ˈsuː.pə.vaɪ.zər/,Người giám sát,noun,My supervisor is very supportive and helpful.,,Sửa từXóa từ,TOEIC: Chủ đề Văn phòng,https://luyentu.com/words
task / /tæsk/,Nhiệm vụ,noun,Each task must be completed by the deadline.,,Sửa từXóa từ,TOEIC: Chủ đề Văn phòng,https://luyentu.com/words
telephone / /ˈtel.ɪ.fəʊn/,Điện thoại,noun,She answered the telephone after two rings.,,Sửa từXóa từ,TOEIC: Chủ đề Văn phòng,https://luyentu.com/words
workspace / /ˈwɜːk.speɪs/,Không gian làm việc,noun,His workspace is always clean and organized.,,Sửa từXóa từ,TOEIC: Chủ đề Văn phòng,https://luyentu.com/words
document / /ˈdɒk.jə.mənt/,Tài liệu,noun,Please print the document for the meeting.,,Sửa từXóa từ,TOEIC: Chủ đề Văn phòng,https://luyentu.com/words
projector / /prəˈdʒek.tər/,Máy chiếu,noun,The projector is used for presentations.,,Sửa từXóa từ,TOEIC: Chủ đề Văn phòng,https://luyentu.com/words
deadline / /ˈded.laɪn/,Hạn chót,noun,We have to meet the deadline for this project.,,Sửa từXóa từ,TOEIC: Chủ đề Văn phòng,https://luyentu.com/words
receptionist / /rɪˈsep.ʃən.ɪst/,Lễ tân,noun,The receptionist greeted us with a warm smile.,,Sửa từXóa từ,TOEIC: Chủ đề Văn phòng,https://luyentu.com/words
stationery / /ˈsteɪ.ʃən.ər.i/,Văn phòng phẩm,noun,We need to order more stationery for the office.,,Sửa từXóa từ,TOEIC: Chủ đề Văn phòng,https://luyentu.com/words
memo / /ˈmem.əʊ/,Thông báo nội bộ,noun,I sent a memo to all staff regarding the changes.,,Sửa từXóa từ,TOEIC: Chủ đề Văn phòng,https://luyentu.com/words
destination / /ˌdes.tɪˈneɪ.ʃən/,Điểm đến,noun,Paris is a popular tourist destination.,,Sửa từXóa từ,TOEIC: Chủ đề Du lịch,https://luyentu.com/words
itinerary / /aɪˈtɪn.ər.ər.i/,Lịch trình,noun,The travel agency prepared an itinerary for our trip.,,Sửa từXóa từ,TOEIC: Chủ đề Du lịch,https://luyentu.com/words
passport / /ˈpɑːs.pɔːt/,Hộ chiếu,noun,Don’t forget to bring your passport to the airport.,,Sửa từXóa từ,TOEIC: Chủ đề Du lịch,https://luyentu.com/words
visa / /ˈviː.zə/,Thị thực,noun,She applied for a tourist visa to visit Japan.,,Sửa từXóa từ,TOEIC: Chủ đề Du lịch,https://luyentu.com/words
boarding pass / /ˈbɔː.dɪŋ ˌpɑːs/,Thẻ lên máy bay,noun,You need to show your boarding pass at the gate.,,Sửa từXóa từ,TOEIC: Chủ đề Du lịch,https://luyentu.com/words
luggage / /ˈlʌɡ.ɪdʒ/,Hành lý,noun,The airline allows one piece of carry-on luggage.,,Sửa từXóa từ,TOEIC: Chủ đề Du lịch,https://luyentu.com/words
suitcase / /ˈsuːt.keɪs/,Vá li,noun,He packed his clothes into a large suitcase.,,Sửa từXóa từ,TOEIC: Chủ đề Du lịch,https://luyentu.com/words
accommodation / /əˌkɒm.əˈdeɪ.ʃən/,Chỗ ở,noun,We booked our accommodation through a travel website.,,Sửa từXóa từ,TOEIC: Chủ đề Du lịch,https://luyentu.com/words
flight / /flaɪt/,Chuyến bay,noun,Our flight was delayed due to bad weather.,,Sửa từXóa từ,TOEIC: Chủ đề Du lịch,https://luyentu.com/words
travel agency / /ˈtræv.əl ˌeɪ.dʒən.si/,Công ty du lịch,noun,We booked the package tour through a travel agency.,,Sửa từXóa từ,TOEIC: Chủ đề Du lịch,https://luyentu.com/words
tourist / /ˈtʊə.rɪst/,Du khách,noun,Many tourists visit the Eiffel Tower every year.,,Sửa từXóa từ,TOEIC: Chủ đề Du lịch,https://luyentu.com/words
tour guide / /ˈtʊə ˌɡaɪd/,Hướng dẫn viên du lịch,noun,The tour guide explained the history of the monument.,,Sửa từXóa từ,TOEIC: Chủ đề Du lịch,https://luyentu.com/words
souvenir / /ˌsuː.vənˈɪər/,Quà lưu niệm,noun,I bought a small souvenir to remember my trip to Rome.,,Sửa từXóa từ,TOEIC: Chủ đề Du lịch,https://luyentu.com/words
sightseeing / /ˈsaɪtˌsiː.ɪŋ/,Tham quan ngắm cảnh,noun,We spent the afternoon sightseeing around the city.,,Sửa từXóa từ,TOEIC: Chủ đề Du lịch,https://luyentu.com/words
departure / /dɪˈpɑː.tʃər/,Sự khởi hành,noun,The departure time for our flight is 10:00 AM.,,Sửa từXóa từ,TOEIC: Chủ đề Du lịch,https://luyentu.com/words
arrival / /əˈraɪ.vəl/,Sự đến nơi,noun,Please check the arrival board for your train information.,,Sửa từXóa từ,TOEIC: Chủ đề Du lịch,https://luyentu.com/words
excursion / /ɪkˈskɜː.ʃən/,Chuyến tham quan,noun,The group went on a one-day excursion to the countryside.,,Sửa từXóa từ,TOEIC: Chủ đề Du lịch,https://luyentu.com/words
resort / /rɪˈzɔːt/,Khu nghỉ dưỡng,noun,We stayed at a luxury beach resort during our vacation.,,Sửa từXóa từ,TOEIC: Chủ đề Du lịch,https://luyentu.com/words
backpack / /ˈbæk.pæk/,Ba lô,noun,She carried all her essentials in a backpack.,,Sửa từXóa từ,TOEIC: Chủ đề Du lịch,https://luyentu.com/words
customs / /ˈkʌs.təmz/,Hải quan,noun,You need to declare any goods at customs upon arrival.,,Sửa từXóa từ,TOEIC: Chủ đề Du lịch,https://luyentu.com/words
check-in / /ˈtʃek.ɪn/,Làm thủ tục nhận phòng/máy bay,noun,Please arrive two hours early to check in for your flight.,,Sửa từXóa từ,TOEIC: Chủ đề Du lịch,https://luyentu.com/words
check-out / /ˈtʃek.aʊt/,Trả phòng,noun,Don’t forget to check out of the hotel by noon.,,Sửa từXóa từ,TOEIC: Chủ đề Du lịch,https://luyentu.com/words
cruise / /kruːz/,Du thuyền,noun,They went on a luxury cruise around the Caribbean.,,Sửa từXóa từ,TOEIC: Chủ đề Du lịch,https://luyentu.com/words
vacation / /veɪˈkeɪ.ʃən/,Kỳ nghỉ,noun,We’re planning a family vacation to the mountains.,,Sửa từXóa từ,TOEIC: Chủ đề Du lịch,https://luyentu.com/words
cashier / /kæˈʃɪər/,Nhân viên thu ngân,noun,The cashier helped me pay for my purchases.,,Sửa từXóa từ,TOEIC: Chủ đề Mua sắm,https://luyentu.com/words
receipt / /rɪˈsiːt/,Hóa đơn,noun,Don’t forget to keep your receipt in case you need to return the item.,,Sửa từXóa từ,TOEIC: Chủ đề Mua sắm,https://luyentu.com/words
refund / /ˈriː.fʌnd/,Hoàn tiền,noun,The store offered a full refund for the defective product.,,Sửa từXóa từ,TOEIC: Chủ đề Mua sắm,https://luyentu.com/words
shopping_mall / /ˈʃɒp.ɪŋ ˌmɔːl/,Trung tâm thương mại,noun,There is a new shopping mall near my house.,,Sửa từXóa từ,TOEIC: Chủ đề Mua sắm,https://luyentu.com/words
store / /stɔːr/,Cửa hàng,noun,She went to the store to buy groceries.,,Sửa từXóa từ,TOEIC: Chủ đề Mua sắm,https://luyentu.com/words
customer / /ˈkʌs.tə.mər/,Khách hàng,noun,The customer asked for a discount on the shoes.,,Sửa từXóa từ,TOEIC: Chủ đề Mua sắm,https://luyentu.com/words
price / /praɪs/,Giá,noun,The price of this dress is very reasonable.,,Sửa từXóa từ,TOEIC: Chủ đề Mua sắm,https://luyentu.com/words
discount / /ˈdɪs.kaʊnt/,Giảm giá,noun,There’s a 20% discount on all items today.,,Sửa từXóa từ,TOEIC: Chủ đề Mua sắm,https://luyentu.com/words
sale / /seɪl/,Bán hàng giảm giá,noun,The store is having a clearance sale this weekend.,,Sửa từXóa từ,TOEIC: Chủ đề Mua sắm,https://luyentu.com/words
exchange / /ɪksˈtʃeɪndʒ/,Đổi hàng,noun,Can I exchange this for a different size?,,Sửa từXóa từ,TOEIC: Chủ đề Mua sắm,https://luyentu.com/words
cart / /kɑːrt/,Giỏ hàng,noun,She filled her cart with items on sale.,,Sửa từXóa từ,TOEIC: Chủ đề Mua sắm,https://luyentu.com/words
bargain / /ˈbɑː.ɡɪn/,"Món hời, mặc cả",noun,I got this watch at a great bargain.,,Sửa từXóa từ,TOEIC: Chủ đề Mua sắm,https://luyentu.com/words
product / /ˈprɒd.ʌkt/,Sản phẩm,noun,This store sells high-quality products.,,Sửa từXóa từ,TOEIC: Chủ đề Mua sắm,https://luyentu.com/words
quality / /ˈkwɒl.ɪ.ti/,Chất lượng,noun,The quality of this handbag is excellent.,,Sửa từXóa từ,TOEIC: Chủ đề Mua sắm,https://luyentu.com/words
shelf / /ʃelf/,Kệ hàng,noun,The items on the top shelf are on sale.,,Sửa từXóa từ,TOEIC: Chủ đề Mua sắm,https://luyentu.com/words
shopping_list / /ˈʃɒp.ɪŋ ˌlɪst/,Danh sách mua sắm,noun,I always bring a shopping list to avoid buying unnecessary things.,,Sửa từXóa từ,TOEIC: Chủ đề Mua sắm,https://luyentu.com/words
fitting_room / /ˈfɪt.ɪŋ ˌruːm/,Phòng thử đồ,noun,The fitting room is at the back of the store.,,Sửa từXóa từ,TOEIC: Chủ đề Mua sắm,https://luyentu.com/words
payment / /ˈpeɪ.mənt/,Thanh toán,noun,You can make a payment with cash or credit card.,,Sửa từXóa từ,TOEIC: Chủ đề Mua sắm,https://luyentu.com/words
credit_card / /ˈkred.ɪt ˌkɑːd/,Thẻ tín dụng,noun,She used her credit card to pay for the purchase.,,Sửa từXóa từ,TOEIC: Chủ đề Mua sắm,https://luyentu.com/words
e_commerce / /ˌiːˈkɒm.ɜːs/,Thương mại điện tử,noun,Online e-commerce platforms have made shopping more convenient.,,Sửa từXóa từ,TOEIC: Chủ đề Mua sắm,https://luyentu.com/words
warranty / /ˈwɒr.ən.ti/,Bảo hành,noun,This laptop comes with a two-year warranty.,,Sửa từXóa từ,TOEIC: Chủ đề Mua sắm,https://luyentu.com/words
contract / /ˈkɒntrækt/,hợp đồng,noun,We signed a new contract yesterday. (Chúng tôi đã ký một hợp đồng mới hôm qua.),,Sửa từXóa từ,TOEIC Part 3: Chủ đề Công việc,https://luyentu.com/words
expire / /ɪkˈspaɪər/,hết hạn,verb,The warranty on this product will expire next month. (Bảo hành cho sản phẩm này sẽ hết hạn vào tháng tới.),,Sửa từXóa từ,TOEIC Part 3: Chủ đề Công việc,https://luyentu.com/words
benefits / /ˈbɛnɪfɪts/,phúc lợi,noun,The company offers excellent health benefits. (Công ty cung cấp các phúc lợi sức khỏe tuyệt vời.),,Sửa từXóa từ,TOEIC Part 3: Chủ đề Công việc,https://luyentu.com/words
headquarters / /hɛdˈkwɔːtərz/,trụ sở,noun,The company headquarters is located in New York. (Trụ sở chính của công ty đặt tại New York.),,Sửa từXóa từ,TOEIC Part 3: Chủ đề Công việc,https://luyentu.com/words
branch / /brɑːntʃ/,chi nhánh,noun,They opened a new branch in the city center. (Họ đã mở một chi nhánh mới ở trung tâm thành phố.),,Sửa từXóa từ,TOEIC Part 3: Chủ đề Công việc,https://luyentu.com/words
access card / /ˈæksɛs kɑːrd/,thẻ ra vào,phrase,You need an access card to enter the building. (Bạn cần một thẻ ra vào để vào tòa nhà.),,Sửa từXóa từ,TOEIC Part 3: Chủ đề Công việc,https://luyentu.com/words
allocate / /ˈæləkeɪt/,"phân phối, cấp",verb,The manager will allocate tasks to each team member. (Quản lý sẽ phân công nhiệm vụ cho từng thành viên trong nhóm.),,Sửa từXóa từ,TOEIC Part 3: Chủ đề Công việc,https://luyentu.com/words
laptop computer / /ˈlæptɒp kəmˈpjuːtər/,máy tính xách tay,phrase,I bought a new laptop computer for work. (Tôi đã mua một chiếc máy tính xách tay mới cho công việc.),,Sửa từXóa từ,TOEIC Part 3: Chủ đề Công việc,https://luyentu.com/words
sales report / /seɪlz rɪˈpɔːrt/,báo cáo kinh doanh,phrase,The sales report shows a significant increase in revenue. (Báo cáo kinh doanh cho thấy doanh thu tăng đáng kể.),,Sửa từXóa từ,TOEIC Part 3: Chủ đề Công việc,https://luyentu.com/words
workflow process / /ˈwɜːrkfloʊ ˈprɒsɛs/,quá trình xử lý công việc,phrase,We need to optimize the workflow process to improve efficiency. (Chúng ta cần tối ưu hóa quy trình xử lý công việc để cải thiện hiệu quả.),,Sửa từXóa từ,TOEIC Part 3: Chủ đề Công việc,https://luyentu.com/words
deal / /diːl/,thỏa thuận mua bán,noun,They closed a lucrative deal with the new client. (Họ đã chốt một thỏa thuận béo bở với khách hàng mới.),,Sửa từXóa từ,TOEIC Part 3: Chủ đề Công việc,https://luyentu.com/words
commute / /kəˈmjuːt/,đi lại hàng ngày từ nhà đến nơi làm việc,verb,My commute to work takes about an hour. (Việc đi làm hàng ngày của tôi mất khoảng một giờ.),,Sửa từXóa từ,TOEIC Part 3: Chủ đề Công việc,https://luyentu.com/words
call in sick / /kɔːl ɪn sɪk/,gọi điện báo ốm,phrase,I have to call in sick today because I'm not feeling well. (Tôi phải gọi điện báo ốm hôm nay vì tôi cảm thấy không khỏe.),,Sửa từXóa từ,TOEIC Part 3: Chủ đề Công việc,https://luyentu.com/words
annual budget / /ˈænjuəl ˈbʌdʒɪt/,ngân sách hàng năm,phrase,The company is preparing its annual budget for the next fiscal year. (Công ty đang chuẩn bị ngân sách hàng năm cho năm tài chính tiếp theo.),,Sửa từXóa từ,TOEIC Part 3: Chủ đề Công việc,https://luyentu.com/words
specialty / /ˈspɛʃəlti/,"chuyên ngành, chuyên môn",noun,Her specialty is in digital marketing. (Chuyên môn của cô ấy là tiếp thị kỹ thuật số.),,Sửa từXóa từ,TOEIC Part 3: Chủ đề Công việc,https://luyentu.com/words
assignment / /əˈsaɪnmənt/,nhiệm vụ (được phân công),noun,The teacher gave us a challenging assignment. (Giáo viên đã giao cho chúng tôi một nhiệm vụ đầy thử thách.),,Sửa từXóa từ,TOEIC Part 3: Chủ đề Công việc,https://luyentu.com/words
marketing strategy / /ˈmɑːrkɪtɪŋ ˈstrætədʒi/,chiến lược kinh doanh,phrase,The new marketing strategy aims to reach a wider audience. (Chiến lược tiếp thị mới nhằm tiếp cận đối tượng khán giả rộng hơn.),,Sửa từXóa từ,TOEIC Part 3: Chủ đề Công việc,https://luyentu.com/words
performance / /pərˈfɔːrməns/,"hiệu suất, thành tích",noun,His performance in the last quarter was outstanding. (Hiệu suất của anh ấy trong quý vừa qua rất xuất sắc.),,Sửa từXóa từ,TOEIC Part 3: Chủ đề Công việc,https://luyentu.com/words
bulletin board / /ˈbʊlətɪn bɔːrd/,bảng thông báo,phrase,Please check the bulletin board for important announcements. (Vui lòng kiểm tra bảng thông báo để biết các thông báo quan trọng.),,Sửa từXóa từ,TOEIC Part 3: Chủ đề Công việc,https://luyentu.com/words
registration / /ˌrɛdʒɪˈstreɪʃən/,sự đăng kí,noun,Please complete your registration by Friday.,,Sửa từXóa từ,"TOEIC Part 3: Chủ đề Hội nghị, chuyến đi công tác",https://luyentu.com/words
information packet / /ˌɪnfərˈmeɪʃən ˈpækɪt/,"một xấp các tập sách nhỏ, cung cấp thông tin",phrase,We will provide you with an information packet upon arrival.,,Sửa từXóa từ,"TOEIC Part 3: Chủ đề Hội nghị, chuyến đi công tác",https://luyentu.com/words
itinerary / /aɪˈtɪnəˌrɛri/,lộ trình,noun,Please review the itinerary for our upcoming trip.,,Sửa từXóa từ,"TOEIC Part 3: Chủ đề Hội nghị, chuyến đi công tác",https://luyentu.com/words
amenities / /əˈmɛnɪtiz/,tiện nghi,noun,The hotel offers many amenities for its guests.,,Sửa từXóa từ,"TOEIC Part 3: Chủ đề Hội nghị, chuyến đi công tác",https://luyentu.com/words
agenda / /əˈdʒɛndə/,chương trình nghị sự,noun,The agenda for the meeting has been distributed.,,Sửa từXóa từ,"TOEIC Part 3: Chủ đề Hội nghị, chuyến đi công tác",https://luyentu.com/words
give a presentation / /ɡɪv ə ˌprɛzənˈteɪʃən/,trình bày,phrase,She will give a presentation on her research.,,Sửa từXóa từ,"TOEIC Part 3: Chủ đề Hội nghị, chuyến đi công tác",https://luyentu.com/words
be away on a trip / /bi əˈweɪ ɒn ə trɪp/,đang đi công tác,phrase,He will be away on a trip for two weeks.,,Sửa từXóa từ,"TOEIC Part 3: Chủ đề Hội nghị, chuyến đi công tác",https://luyentu.com/words
fundraising / /ˈfʌndˌreɪzɪŋ/,gây quỹ,noun,The organization is holding a fundraising event.,,Sửa từXóa từ,"TOEIC Part 3: Chủ đề Hội nghị, chuyến đi công tác",https://luyentu.com/words
conference / /ˈkɒnfərəns/,hội nghị,noun,We are attending a large international conference.,,Sửa từXóa từ,"TOEIC Part 3: Chủ đề Hội nghị, chuyến đi công tác",https://luyentu.com/words
arrange a meeting / /əˈreɪndʒ ə ˈmiːtɪŋ/,chuẩn bị một cuộc họp,phrase,Could you please arrange a meeting with the client?,,Sửa từXóa từ,"TOEIC Part 3: Chủ đề Hội nghị, chuyến đi công tác",https://luyentu.com/words
handout / /ˈhændˌaʊt/,tài liệu phát tay,noun,Please find the handout attached.,,Sửa từXóa từ,"TOEIC Part 3: Chủ đề Hội nghị, chuyến đi công tác",https://luyentu.com/words
draft / /drɑːft/,"bản phác thảo, đề cương",noun,I have completed the first draft of the report.,,Sửa từXóa từ,"TOEIC Part 3: Chủ đề Hội nghị, chuyến đi công tác",https://luyentu.com/words
training seminar / /ˈtreɪnɪŋ ˈsɛmɪnɑːr/,hội thảo huấn luyện,phrase,She attended a training seminar on leadership skills.,,Sửa từXóa từ,"TOEIC Part 3: Chủ đề Hội nghị, chuyến đi công tác",https://luyentu.com/words
trade show / /treɪd ʃoʊ/,hội chợ triển lãm thương mại,phrase,We are exhibiting at the annual trade show.,,Sửa từXóa từ,"TOEIC Part 3: Chủ đề Hội nghị, chuyến đi công tác",https://luyentu.com/words
submit the proposal / /səbˈmɪt ðə prəˈpoʊzəl/,đệ trình bản kế hoạch,phrase,Please submit the proposal by the deadline.,,Sửa từXóa từ,"TOEIC Part 3: Chủ đề Hội nghị, chuyến đi công tác",https://luyentu.com/words
session / /ˈsɛʃən/,"niên khóa, phiên họp",noun,The next session of the conference will begin shortly.,,Sửa từXóa từ,"TOEIC Part 3: Chủ đề Hội nghị, chuyến đi công tác",https://luyentu.com/words
special offer / /ˈspɛʃəl ˈɔːfər/,giảm giá đặc biệt,phrase,They are having a special offer on all electronics this week. (Họ đang có chương trình giảm giá đặc biệt cho tất cả các mặt hàng điện tử trong tuần này.),,Sửa từXóa từ,TOEIC Part 3: Chủ đề Sản phẩm,https://luyentu.com/words
inventory / /ˈɪnvəntəri/,bản kê khai hàng hóa,noun,We need to update the inventory records. (Chúng ta cần cập nhật hồ sơ bản kê khai hàng hóa.),,Sửa từXóa từ,TOEIC Part 3: Chủ đề Sản phẩm,https://luyentu.com/words
out of stock / /aʊt əv stɒk/,hết hàng trong kho,phrase,The item is currently out of stock. (Món hàng hiện đang hết hàng trong kho.),,Sửa từXóa từ,TOEIC Part 3: Chủ đề Sản phẩm,https://luyentu.com/words
refund / /ˈriːfʌnd/,"trả lại tiền, sự bồi hoàn",noun,I would like to request a refund for this damaged item. (Tôi muốn yêu cầu hoàn lại tiền cho món hàng bị hỏng này.),,Sửa từXóa từ,TOEIC Part 3: Chủ đề Sản phẩm,https://luyentu.com/words
manufacturer / /ˌmænjuˈfæktʃərər/,nhà sản xuất,noun,The manufacturer is responsible for the product's quality. (Nhà sản xuất chịu trách nhiệm về chất lượng sản phẩm.),,Sửa từXóa từ,TOEIC Part 3: Chủ đề Sản phẩm,https://luyentu.com/words
warehouse / /ˈweərhaʊs/,kho hàng,noun,They store all their goods in a large warehouse. (Họ lưu trữ tất cả hàng hóa của mình trong một nhà kho lớn.),,Sửa từXóa từ,TOEIC Part 3: Chủ đề Sản phẩm,https://luyentu.com/words
stockroom / /ˈstɒkruːm/,kho hàng,noun,Please check the stockroom for the missing item. (Xin vui lòng kiểm tra kho hàng xem có món đồ bị thiếu không.),,Sửa từXóa từ,TOEIC Part 3: Chủ đề Sản phẩm,https://luyentu.com/words
release / /rɪˈliːs/,tung ra (sản phẩm),verb,The company plans to release a new model next month. (Công ty dự định tung ra một mẫu mới vào tháng tới.),,Sửa từXóa từ,TOEIC Part 3: Chủ đề Sản phẩm,https://luyentu.com/words
launch / /lɔːntʃ/,tung ra (sản phẩm),verb,They will launch the new product at the trade show. (Họ sẽ tung ra sản phẩm mới tại hội chợ thương mại.),,Sửa từXóa từ,TOEIC Part 3: Chủ đề Sản phẩm,https://luyentu.com/words
details / /ˈdiːteɪlz/,chi tiết (sản phẩm),noun,Can you provide more details about the product? (Bạn có thể cung cấp thêm chi tiết về sản phẩm không?),,Sửa từXóa từ,TOEIC Part 3: Chủ đề Sản phẩm,https://luyentu.com/words
estimates / /ˈɛstɪməts/,bảng báo giá,noun,We received several estimates for the project. (Chúng tôi đã nhận được nhiều bảng báo giá cho dự án.),,Sửa từXóa từ,TOEIC Part 3: Chủ đề Sản phẩm,https://luyentu.com/words
expedite / /ˈɛkspɪdaɪt/,xúc tiến,verb,We need to expedite the delivery process. (Chúng ta cần xúc tiến quy trình giao hàng.),,Sửa từXóa từ,TOEIC Part 3: Chủ đề Sản phẩm,https://luyentu.com/words
defects / /ˈdiːfɛkts/,khuyết điểm,noun,The product has several manufacturing defects. (Sản phẩm có một vài khuyết điểm trong quá trình sản xuất.),,Sửa từXóa từ,TOEIC Part 3: Chủ đề Sản phẩm,https://luyentu.com/words
warranty / /ˈwɒrənti/,giấy bảo hành,noun,The appliance comes with a one-year warranty. (Thiết bị đi kèm với giấy bảo hành một năm.),,Sửa từXóa từ,TOEIC Part 3: Chủ đề Sản phẩm,https://luyentu.com/words
rebate / /ˈriːbeɪt/,hoàn lại một phần tiền (sau khi đã mua sản phẩm),noun,You can get a rebate by mailing in the coupon. (Bạn có thể nhận được tiền hoàn lại bằng cách gửi phiếu giảm giá qua thư.),,Sửa từXóa từ,TOEIC Part 3: Chủ đề Sản phẩm,https://luyentu.com/words
distribute / /dɪˈstrɪbjuːt/,phân phối,verb,They are responsible for distributing the goods to retailers. (Họ chịu trách nhiệm phân phối hàng hóa cho các nhà bán lẻ.),,Sửa từXóa từ,TOEIC Part 3: Chủ đề Sản phẩm,https://luyentu.com/words
supplier / /səˈplaɪər/,nhà cung cấp,noun,We have a reliable supplier for our raw materials. (Chúng tôi có một nhà cung cấp đáng tin cậy cho nguyên liệu thô của mình.),,Sửa từXóa từ,TOEIC Part 3: Chủ đề Sản phẩm,https://luyentu.com/words
wall-mounted unit / /ˈwɔːlˌmaʊntɪd ˈjuːnɪt/,loại treo tường,phrase,They installed a new wall-mounted unit in the bathroom. (Họ đã lắp đặt một thiết bị treo tường mới trong phòng tắm.),,Sửa từXóa từ,TOEIC Part 3: Chủ đề Sản phẩm,https://luyentu.com/words
bulk purchase / /bʌlk ˈpɜːrtʃəs/,mua hàng số lượng lớn,phrase,We can offer a discount for a bulk purchase. (Chúng tôi có thể đưa ra chiết khấu cho việc mua hàng số lượng lớn.),,Sửa từXóa từ,TOEIC Part 3: Chủ đề Sản phẩm,https://luyentu.com/words
